smiles,pCMC,T,category
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(OCC(OCC(C)OCC(C)OCC(OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C)C)C)C=C1.[Na+],4.9208,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)S(=O)([O-])=O.[Na+],3.8297,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)S(=O)([O-])=O.[Na+],4.2757,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)S(=O)([O-])=O.[Na+],4.8861,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC([O-])=O.[Na+],3.5421,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC([O-])=O.[Na+],3.9914,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC([O-])=O.[Na+],4.4437,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCS(=O)(O[O-])=O.[Na+],3.7696,25,anionic
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC([O-])=O.[Na+],3.4034,25,anionic
CCCCCCCCCCCCOCCOCCOCCOS(=O)([O-])=O.[Na+],2.5528,25,anionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)([O-])=O.[Na+],2.7212,25,anionic
CCCCCCCCCCCCCCCCOS(=O)([O-])=O.[Na+],3.3979,25,anionic
CCCCCCCCCCCCCCCCOCCOS(=O)([O-])=O.[Na+],3.6576,25,anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)([O-])=O.[Na+],4,25,anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)([O-])=O.[Na+],4,25,anionic
CCCCCCCCCCCCCCCCCCOCCOS(=O)([O-])=O.[Na+],3.9586,25,anionic
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)([O-])=O.[Na+],4.1549,25,anionic
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)([O-])=O.[Na+],4.301,25,anionic
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)([O-])=O.[Na+],4.3979,25,anionic
CCCCCCCCCC(NCC([O-])=O)=O.[Na+],1.4202,40,anionic
CCCCCCCCCCCC(NCC([O-])=O)=O.[Na+],2,40,anionic
CCCCCCCCCCCC(N(C)CC([O-])=O)=O.[Na+],2,30,anionic
CCCCCCCCCCCC(N(C)CCC([O-])=O)=O.[Na+],2.1192,30,anionic
CCCCCCCCCCCCCC(NCC([O-])=O)=O.[Na+],2.3768,40,anionic
CCCCCCCCCCCCOS(=O)([O-])=O.[K+],2.1079,40,anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.CC[N+](CC)(CC)CC,2.3468,30,anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.CCCC[N+](CCCC)(CCCC)CCCC,2.8861,30,anionic
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],2.699,50,anionic
CCCCCCCCCCCC(N(CCS(=O)(O[O-])=O)C)=O.[Na+],2.0506,30,anionic
O=C(CS(=O)(O[O-])=O)NCCCCCCCCCCCC.[Na+],2.284,35,anionic
O=C(CCS(=O)(O[O-])=O)NCCCCCCCCCCCC.[Na+],2.3565,35,anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],1.9586,35,anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(COC(C(S(=O)([O-])=O)CC(OCCCCC)=O)=O)F.[Na+],2.7959,30,anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCC([O-])=O.[Na+],4.0259,30,anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCC([O-])=O.[Na+],4.3429,30,anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCC([O-])=O.[Na+],4.9957,30,anionic
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOC(CCC([O-])=O)=O.[Na+],2.8894,30,anionic
CC(CCCC(CCC(COCC(OCC(OCC(OCC(OCC(OCC(OCC(C)S(=O)(O[O-])=O)C)C)C)C)C)C)C)C)C.[Na+],4.3372,30,anionic
CC(CCCC(CCC(COCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(C)S(=O)(O[O-])=O)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C.[Na+],4.9208,30,anionic
CCCCCCCCCCCC(=O)N(C)CCC(=O)[O-].[Na+],2.672,25,zwitterionic
CCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],1.712,25,zwitterionic
