smiles,temp,pCMC
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC([O-])=O.[Na+],25.0,3.4034
CCCCCCCCCCCCOCCOCCOCCOS(=O)([O-])=O.[Na+],25.0,2.5528
CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)([O-])=O.[Na+],25.0,2.7212
CCCCCCCCCCCCCCCCOS(=O)([O-])=O.[Na+],25.0,3.3979
CCCCCCCCCCCCCCCCOCCOS(=O)([O-])=O.[Na+],25.0,3.6576
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)([O-])=O.[Na+],25.0,4.0
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)([O-])=O.[Na+],25.0,4.0
CCCCCCCCCCCCCCCCCCOCCOS(=O)([O-])=O.[Na+],25.0,3.9586
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)([O-])=O.[Na+],25.0,4.1549
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)([O-])=O.[Na+],25.0,4.301
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)([O-])=O.[Na+],25.0,4.3979
CCCCCCCCCC(NCC([O-])=O)=O.[Na+],40.0,1.4202
CCCCCCCCCCCC(NCC([O-])=O)=O.[Na+],40.0,2.0
CCCCCCCCCCCC(N(C)CC([O-])=O)=O.[Na+],30.0,2.0
CCCCCCCCCCCC(N(C)CCC([O-])=O)=O.[Na+],30.0,2.1192
CCCCCCCCCCCCCC(NCC([O-])=O)=O.[Na+],40.0,2.3768
CCCCCCCCCCCCOS(=O)([O-])=O.[K+],40.0,2.1079
CCCCCCCCCCCCS(=O)(O[O-])=O.CC[N+](CC)(CC)CC,30.0,2.3468
CCCCCCCCCCCCS(=O)(O[O-])=O.CCCC[N+](CCCC)(CCCC)CCCC,30.0,2.8861
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],50.0,2.699
CCCCCCCCCCCC(N(CCS(=O)(O[O-])=O)C)=O.[Na+],30.0,2.0506
O=C(CS(=O)(O[O-])=O)NCCCCCCCCCCCC.[Na+],35.0,2.284
O=C(CCS(=O)(O[O-])=O)NCCCCCCCCCCCC.[Na+],35.0,2.3565
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],35.0,1.9586
FC(F)(F)C(F)(F)C(F)(F)C(F)(COC(C(S(=O)([O-])=O)CC(OCCCCC)=O)=O)F.[Na+],30.0,2.7959
CCCCCCCCCCCCCCCCOCCOCCOCCOCC([O-])=O.[Na+],30.0,4.0259
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCC([O-])=O.[Na+],30.0,4.3429
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCC([O-])=O.[Na+],30.0,4.9957
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOC(CCC([O-])=O)=O.[Na+],30.0,2.8894
CC(CCCC(CCC(COCC(OCC(OCC(OCC(OCC(OCC(OCC(C)S(=O)(O[O-])=O)C)C)C)C)C)C)C)C)C.[Na+],30.0,4.3372
CC(CCCC(CCC(COCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(OCC(C)S(=O)(O[O-])=O)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C.[Na+],30.0,4.9208
CCCCCCCCCCCC(=O)N(C)CCC(=O)[O-].[Na+],25.0,2.672
CCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],25.0,1.712
CCCCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],25.0,2.478
CCCCCCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],25.0,3.433
CCCCCCCCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],25.0,4.276
C1CN(CCN1CCS(=O)(=O)O)CCS(=O)(=O)[O-].[Na+],25.0,1.398
C1=CC=NC(=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])O)O.[Na+],25.0,0.699
C1CN(CCN1CCO)CCS(=O)(=O)[O-].[Na+],25.0,0.398
C1CCC(CC1)NS(=O)(=O)[O-].[Na+],25.0,0.523
CCCCN1C=C[N+](=C1)CCOS(=O)(=O)[O-],25.0,0.456
[B-](F)(F)(F)F.CCCCN1C-C[N+](=C1)C,25.0,0.071
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCN1C=C[N+](=C1)C,25.0,3.638
